
cycle:0 timeElapsed: 267090.3781, bestCost 0.0
cycle:1 timeElapsed: 79073.1887, bestCost 0.0
cycle:2 timeElapsed: 79517.6806, bestCost 0.0
cycle:3 timeElapsed: 79858.0312, bestCost 0.0
cycle:4 timeElapsed: 80616.2621, bestCost 0.0
cycle:5 timeElapsed: 77857.7874, bestCost 0.0
cycle:6 timeElapsed: 81645.9953, bestCost 0.0
cycle:7 timeElapsed: 78673.2647, bestCost 0.0
cycle:8 timeElapsed: 80758.6514, bestCost 0.0
cycle:9 timeElapsed: 78554.2814, bestCost 0.0
cycle:10 timeElapsed: 78528.4244, bestCost 0.0
cycle:11 timeElapsed: 78743.1456, bestCost 0.0
cycle:12 timeElapsed: 76628.4784, bestCost 0.0
cycle:13 timeElapsed: 81034.2268, bestCost 0.0
cycle:14 timeElapsed: 78688.7328, bestCost 0.0
cycle:15 timeElapsed: 77979.9084, bestCost 0.0
cycle:16 timeElapsed: 76460.5478, bestCost 0.0
cycle:17 timeElapsed: 76052.2318, bestCost 0.0
cycle:18 timeElapsed: 77482.2053, bestCost 0.0
cycle:19 timeElapsed: 78407.7328, bestCost 0.0
cycle:20 timeElapsed: 75528.2036, bestCost 0.0
cycle:21 timeElapsed: 77633.8055, bestCost 0.0
cycle:22 timeElapsed: 79643.1033, bestCost 0.0
cycle:23 timeElapsed: 80069.8923, bestCost 0.0
cycle:24 timeElapsed: 79167.6063, bestCost 0.0
cycle:25 timeElapsed: 78359.7186, bestCost 0.0
